 release_year |                   country_name                   | movie_count 
         2017 | Thailand                                         |           2
         2017 | Sweden                                           |           3
         2017 | Spain                                            |          10
         2017 | South Korea                                      |           1
         2017 | South Africa                                     |           3
         2017 | Slovenia                                         |           1
         2017 | Serbia                                           |           2
         2017 | Russia                                           |           1
         2017 | Romania                                          |           3
         2017 | Portugal                                         |           1
         2017 | Philippines                                      |           2
         2017 | Peru                                             |           3
         2017 | Pakistan                                         |           1
         2017 | Norway                                           |           2
         2017 | North Carolina USA                               |           1
         2017 | New Zealand                                      |           1
         2017 | Mexico                                           |           9
         2017 | Malaysia                                         |           2
         2017 | Macedonia                                        |           1
         2017 | Laos                                             |           1
         2017 | Japan                                            |           4
         2017 | Italy                                            |           3
         2017 | Ireland                                          |           8
         2017 | Indonesia                                        |           3
         2017 | India                                            |           7
         2017 | Iceland                                          |           1
         2017 | Hungary                                          |           4
         2017 | Greece                                           |           1
         2017 | Germany                                          |           5
         2017 | Georgia                                          |           2
         2017 | France                                           |           7
         2017 | Finland                                          |           1
         2017 | Estonia                                          |           1
         2017 | Dominican Republic                               |           1
         2017 | Denmark                                          |           1
         2017 | Czech Republic                                   |           1
         2017 | Colombia                                         |           1
         2017 | Chile                                            |           2
         2017 | Canada                                           |          38
         2017 | Bulgaria                                         |           2
         2017 | Brazil                                           |           3
         2017 | Bizkaia                                          |           1
         2017 | Belgium                                          |           2
         2017 | BC                                               |           1
         2017 | Australia                                        |          14
         2017 | Argentina                                        |           3
         2017 | Albania                                          |           2
         2018 | USA                                              |          24
         2018 | UK                                               |           3
         2018 | Spain                                            |           2
         2018 | Norway                                           |           1
         2018 | Morocco                                          |           1
         2018 | Germany                                          |           1
         2018 | Denmark                                          |           1
         2018 | Cambodia                                         |           1
         2018 | Bulgaria                                         |           1
         2018 | Australia                                        |           2
         2019 | Australia                                        |           1
              | Venezuela                                        |           1
              | USA                                              |          54
              | UK                                               |          11
              | Turkey                                           |           1
              | South Africa                                     |           1
              | Portugal                                         |           1
              | Mexico                                           |           1
              | Lithuania                                        |           1
              | Italy                                            |           1
              | Italia                                           |           1
              | Germany                                          |           1
              | Georgia                                          |           2
              | Chile                                            |           1
              | Canada                                           |           4
              | Brazil                                           |           1
              | Bhutan                                           |           1
(1181 rows)

